                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.73565,                0.49364,                0.90427,                0.94333,                0.91577,                0.95877,                0.82681,                0.69969,                0.57207,                0.88077,               0.004852,               0.004852,               0.004852
                     54,                0.72737,                0.48718,                0.90303,                0.94173,                0.91887,                0.95841,                0.83157,                0.69229,                0.58137,                0.87799,               0.004753,               0.004753,               0.004753
                     55,                0.72674,                0.48866,                0.90135,                0.94048,                0.91742,                0.95984,                0.83416,                0.67342,                0.59357,                0.87447,               0.004654,               0.004654,               0.004654
                     56,                 0.7247,                0.48672,                0.90237,                0.94279,                0.91416,                0.95906,                0.83366,                0.68015,                0.58577,                 0.8763,               0.004555,               0.004555,               0.004555
                     57,                0.72308,                0.48302,                 0.9016,                0.94486,                0.91666,                0.96077,                0.83818,                0.65478,                0.59507,                0.86921,               0.004456,               0.004456,               0.004456
                     58,                 0.7142,                0.47717,                0.89881,                0.93803,                 0.9193,                0.95979,                 0.8363,                0.66702,                0.59135,                0.87174,               0.004357,               0.004357,               0.004357
                     59,                0.71978,                0.48288,                0.89999,                0.94424,                0.92197,                 0.9609,                0.83821,                0.66287,                0.58238,                0.87039,               0.004258,               0.004258,               0.004258
                     60,                0.71213,                0.47796,                0.89883,                0.94948,                0.91816,                0.96085,                0.83576,                0.67426,                0.58931,                0.87194,               0.004159,               0.004159,               0.004159
                     61,                0.71033,                0.47592,                 0.8974,                0.94863,                0.92132,                 0.9618,                0.83824,                0.66723,                 0.5769,                0.87071,                0.00406,                0.00406,                0.00406
                     62,                 0.7066,                0.47081,                0.89457,                0.93937,                0.91439,                 0.9584,                0.83622,                0.66841,                0.59843,                0.87262,               0.003961,               0.003961,               0.003961
                     63,                0.70437,                0.47167,                0.89463,                0.94478,                0.92051,                0.96017,                0.84056,                0.65733,                0.57191,                 0.8677,               0.003862,               0.003862,               0.003862
                     64,                0.70057,                0.46869,                0.89435,                0.94932,                0.92281,                0.96255,                0.84491,                0.65582,                0.58544,                0.86702,               0.003763,               0.003763,               0.003763
